sample,along_scan,along_track,scan_angle,pix_area
355,0.562637,0.68817,52.9031,0.387189904
356,0.562172,0.687949,52.8942,0.386745665
357,0.561708,0.687728,52.8853,0.386302319
358,0.561245,0.687506,52.8764,0.385859305
359,0.560782,0.687286,52.8675,0.385417618
360,0.560321,0.687065,52.8586,0.384976948
361,0.55986,0.686845,52.8497,0.384537042
362,0.559399,0.686625,52.8408,0.384097338
363,0.558939,0.686404,52.8319,0.383657965
364,0.558481,0.686185,52.823,0.383221285
365,0.558023,0.685965,52.8141,0.382784247
366,0.557565,0.685746,52.8053,0.382347968
367,0.557108,0.685527,52.7964,0.381912576
368,0.556652,0.685308,52.7875,0.381478069
369,0.556198,0.685089,52.7786,0.381045132
370,0.555743,0.68487,52.7697,0.380611708
371,0.55529,0.684652,52.7608,0.380180409
372,0.554837,0.684434,52.7519,0.379749307
373,0.554384,0.684216,52.743,0.379318403
374,0.553933,0.683998,52.7341,0.378889064
375,0.553482,0.683781,52.7252,0.378460475
376,0.553032,0.683564,52.7163,0.378032766
377,0.552583,0.683347,52.7074,0.377605935
378,0.552134,0.68313,52.6985,0.377179299
379,0.551686,0.682913,52.6896,0.376753541
380,0.551239,0.682696,52.6808,0.37632866
381,0.550792,0.68248,52.6719,0.375904524
382,0.550347,0.682264,52.663,0.375481946
383,0.549902,0.682048,52.6541,0.375059559
384,0.549457,0.681832,52.6452,0.374637365
385,0.549014,0.681617,52.6363,0.374217276
386,0.548571,0.681401,52.6274,0.373796828
387,0.548129,0.681186,52.6185,0.373377801
388,0.547687,0.680971,52.6096,0.372958964
389,0.547246,0.680757,52.6007,0.372541545
390,0.546806,0.680542,52.5918,0.372124449
391,0.546367,0.680328,52.5829,0.371708768
392,0.545928,0.680114,52.574,0.371293276
393,0.54549,0.6799,52.5651,0.370878651
394,0.545053,0.679686,52.5563,0.370464893
395,0.544616,0.679473,52.5474,0.370051867
396,0.54418,0.679259,52.5385,0.369639163
397,0.543745,0.679046,52.5296,0.369227867
398,0.54331,0.678833,52.5207,0.368816757
399,0.542877,0.678621,52.5118,0.368407733
400,0.542443,0.678407,52.5029,0.367997128
401,0.542011,0.678195,52.494,0.36758915
402,0.541579,0.677983,52.4851,0.367181355
403,0.541147,0.677771,52.4762,0.366773743
404,0.540717,0.67756,52.4673,0.366368211
405,0.540287,0.677348,52.4584,0.365962319
406,0.539858,0.677137,52.4495,0.365557827
407,0.53943,0.676925,52.4406,0.365153653
408,0.539002,0.676715,52.4318,0.364750738
409,0.538575,0.676504,52.4229,0.364348142
410,0.538149,0.676293,52.414,0.363946402
411,0.537723,0.676082,52.4051,0.363544841
412,0.537297,0.675872,52.3962,0.363143998
413,0.536873,0.675662,52.3873,0.362744685
414,0.536449,0.675452,52.3784,0.36234555
415,0.536026,0.675243,52.3695,0.361947804
416,0.535603,0.675033,52.3606,0.3615497
417,0.535182,0.674824,52.3517,0.361153658
418,0.53476,0.674615,52.3428,0.360757117
419,0.53434,0.674406,52.3339,0.360362102
420,0.53392,0.674197,52.325,0.359967262
421,0.533501,0.673989,52.3162,0.359573805
422,0.533082,0.67378,52.3073,0.35917999
423,0.532664,0.673572,52.2984,0.358787556
424,0.532247,0.673364,52.2895,0.358395969
425,0.53183,0.673156,52.2806,0.358004555
426,0.531415,0.672949,52.2717,0.357615193
427,0.530999,0.672741,52.2628,0.357224798
428,0.530584,0.672534,52.2539,0.35683578
429,0.53017,0.672327,52.245,0.356447606
430,0.529757,0.67212,52.2361,0.356060275
431,0.529344,0.671914,52.2272,0.355673644
432,0.528932,0.671707,52.2183,0.355287327
433,0.52852,0.671501,52.2094,0.354901709
434,0.528109,0.671295,52.2005,0.354516931
435,0.527699,0.671089,52.1917,0.354132994
